,summary,Herbst,Winter,Sommer,Frühling,word
sterb glatteis-unfall,3.398202629364027,-0.5211665648795304,0.4179059530420384,-0.49635007037838896,-0.5156537152505073,sterb glatteis-unfall
glatteis-unfall audi,2.5686182369480552,-0.24128801478634598,0.23737890234342462,-0.2164715202852046,-0.23577516515732277,glatteis-unfall audi
schleudert,2.5059819381101147,-0.21660056044816206,0.21691417587859402,-0.19178406594702077,-0.2110877108191388,schleudert
audi schleuder,2.5059819381101147,-0.21660056044816206,0.21691417587859402,-0.19178406594702077,-0.2110877108191388,audi schleuder
Kleinbus,2.395331699144932,-0.1714416292428902,0.1769597723102051,-0.1466251347417488,-0.16592877961386684,Kleinbus
schleuder kleinbus,2.395331699144932,-0.1714416292428902,0.1769597723102051,-0.1466251347417488,-0.16592877961386684,schleuder kleinbus
kleinbus kind,2.3333650297282884,-0.1452313559225202,0.15213703820306843,-0.12041486142137887,-0.13971850629349702,kleinbus kind
kind ein,2.3051786537030483,-0.13307809193293343,0.14018655285781115,-0.108261597431792,-0.1275652423039101,kind ein
Audi-Fahrer,2.7709389782281786,-0.31710615552618954,0.29486877998585426,-0.2922896610250482,-0.3115933058971662,Audi-Fahrer
ein audi-fahrer,2.7709389782281786,-0.31710615552618954,0.29486877998585426,-0.2922896610250482,-0.3115933058971662,ein audi-fahrer
audi-fahrer montag,2.6202270967972257,-0.26118090364186447,0.2532155560366085,-0.23636440914072307,-0.25566805401284115,audi-fahrer montag
schneeglatten,2.531036167893695,-0.22654868288115046,0.22527208030968396,-0.2017321883800091,-0.22103583325212717,schneeglatten
montag schneeglatt,2.2131160955081186,-0.092321431841732,0.09790465471412052,-0.06750493734059053,-0.08680858221270861,montag schneeglatt
Talbrücke,2.4921701051189586,-0.21107377053500329,0.21220411123055904,-0.18625727603386208,-0.2055609209059801,Talbrücke
schneeglatt talbrücke,2.4921701051189586,-0.21107377053500329,0.21220411123055904,-0.18625727603386208,-0.2055609209059801,schneeglatt talbrücke
Hembsen,2.4684894333521585,-0.20152630957130405,0.20395266722063493,-0.1767098150701626,-0.1960134599422807,Hembsen
talbrücke hembsen,2.4684894333521585,-0.20152630957130405,0.20395266722063493,-0.1767098150701626,-0.1960134599422807,talbrücke hembsen
Brakel,2.856392927539984,-0.3474795261432999,0.31586655022817306,-0.3226630316421586,-0.34196667651427665,Brakel
hembsen brakel,2.4686515884395126,-0.20159199742048514,0.20400994220408844,-0.17677550291934366,-0.1960791477914617,hembsen brakel
brakel wagen,2.2222936833771025,-0.09645976467874004,0.1023606928359123,-0.07164327017759863,-0.09094691504971658,brakel wagen
Gegenverkehr,2.24532160113685,-0.10676867456968928,0.11329664308155203,-0.08195218006854785,-0.10125582494066604,Gegenverkehr
wagen gegenverkehr,2.24532160113685,-0.10676867456968928,0.11329664308155203,-0.08195218006854785,-0.10125582494066604,wagen gegenverkehr
geschleudert,2.2741430513389753,-0.11952321216910027,0.12651130699261906,-0.09470671766795906,-0.11401036254007713,geschleudert
gegenverkehr schleuder,2.2741430513389753,-0.11952321216910027,0.12651130699261906,-0.09470671766795906,-0.11401036254007713,gegenverkehr schleuder
brakel nrw,2.3455742439323797,-0.1504501635200487,0.15718134128826133,-0.12563366901890716,-0.14493731389102535,brakel nrw
nrw der,2.3684633120116936,-0.1601612647523936,0.16643157035704376,-0.13534477025125227,-0.15464841512337027,nrw der
der wintereinbruch,2.389584303223815,-0.16903933056834355,0.17473683876051954,-0.1442228360672021,-0.16352648093932023,der wintereinbruch
wintereinbruch nrw,2.3455742439323797,-0.1504501635200487,0.15718134128826133,-0.12563366901890716,-0.14493731389102535,wintereinbruch nrw
nrw erst,2.8305605286422804,-0.3383946701588991,0.3096985078341509,-0.3135781756577578,-0.332881820529876,nrw erst
Glatteis-Todesopfer,3.398202629364027,-0.5211665648795304,0.4179059530420384,-0.49635007037838896,-0.5156537152505073,Glatteis-Todesopfer
erst glatteis-todesopfer,3.398202629364027,-0.5211665648795304,0.4179059530420384,-0.49635007037838896,-0.5156537152505073,erst glatteis-todesopfer
glatteis-todesopfer forder,2.5412762767989143,-0.2305863374730623,0.228621009222039,-0.20576984297192077,-0.22507348784403894,glatteis-todesopfer forder
7.45,2.264514708670456,-0.11528039077943934,0.1221534313907645,-0.09046389627829797,-0.10976754115041609,7.45
montag 7.45,2.264514708670456,-0.11528039077943934,0.1221534313907645,-0.09046389627829797,-0.10976754115041609,montag 7.45
7.45 uhr,2.253467904183816,-0.11039023185349611,0.11708383494775282,-0.08557373735235468,-0.10487738222447271,7.45 uhr
uhr schneeglatt,2.230592667558692,-0.10018723182538816,0.10634173880676777,-0.07537073732424676,-0.09467438219636472,uhr schneeglatt
Ostwestf…,2.1717727816881056,-0.07346369557527989,0.07710338813266994,-0.048647201074138446,-0.06795084594625646,Ostwestf…
brakel ostwestf…,2.1717727816881056,-0.07346369557527989,0.07710338813266994,-0.048647201074138446,-0.06795084594625646,brakel ostwestf…
+704,2.1618141301057068,-0.06886765570563277,0.07190673658550781,-0.044051161204491394,-0.06335480607660955,+704
ostwestf… +704,2.1618141301057068,-0.06886765570563277,0.07190673658550781,-0.044051161204491394,-0.06335480607660955,ostwestf… +704
+704 chars,2.157634967759439,-0.06693261095542594,0.06970352617274177,-0.042116116454284556,-0.061419761326402436,+704 chars
Rente,3.005901046149721,0.9225836247475698,-0.5609549554185114,-0.37368078896691953,-0.39298443383903753,Rente
rente der,2.507245126044855,0.7039161426771864,-0.37956217444843743,-0.19228800799684545,-0.21159165286896345,rente der
Frührentenboom,2.514379119242128,0.7080877326535934,-0.38240348540609836,-0.19512931895450641,-0.21443296382662438,Frührentenboom
der frührentenboom,2.514379119242128,0.7080877326535934,-0.38240348540609836,-0.19512931895450641,-0.21443296382662438,der frührentenboom
frührentenboom komm,2.543712221526121,0.7248183563729396,-0.39400210201874575,-0.2067279355671538,-0.22603158043927177,frührentenboom komm
komm teuer,2.2652742409331568,0.5326775358161339,-0.27807341268913494,-0.09079924623754296,-0.11010289110966101,komm teuer
teuer steh,2.6126605819248203,0.7616628554961344,-0.4207466655761714,-0.23347249912457937,-0.2527761439966975,teuer steh
zahl zeig,2.675862899071473,0.7926979521308102,-0.4446494908314248,-0.2573753243798329,-0.27667896925195096,zahl zeig
zeig immer,2.708435816783378,0.8077758643468452,-0.4567488622836332,-0.26947469583204137,-0.2887783407041594,zeig immer
mehr rentner,2.7613573061861576,0.8310632767960929,-0.4760999198585279,-0.28882575340693606,-0.3081293982790541,mehr rentner
kassieren,2.8077075719787135,0.8503239728030841,-0.4927459231160539,-0.30547175666446186,-0.32477540153657997,kassieren
rentner kassier,2.8077075719787135,0.8503239728030841,-0.4927459231160539,-0.30547175666446186,-0.32477540153657997,rentner kassier
kassier rente,2.4953670154745993,0.6968781929787395,-0.3748134021846662,-0.18753923573307416,-0.2068428806051923,kassier rente
vorzeitig,2.982660683591203,0.9148590027724038,-0.5531933324181143,-0.36591916596652224,-0.38522281083864035,vorzeitig
rente vorzeitig,2.982660683591203,0.9148590027724038,-0.5531933324181143,-0.36591916596652224,-0.38522281083864035,rente vorzeitig
Regeländerung,3.3541484231465155,1.020194697953697,-0.6705754984086366,-0.4833013319570447,-0.5026049768291627,Regeländerung
mit regeländerung,3.3541484231465155,1.020194697953697,-0.6705754984086366,-0.4833013319570447,-0.5026049768291627,mit regeländerung
regeländerung jahreswechsel,4.964209913017103,1.251582769667728,-1.0626317369273797,-0.8753575704757877,-0.8946612153479057,regeländerung jahreswechsel
jahreswechsel dürf,3.4878614263971355,1.050504180024428,-0.7096663599957473,-0.5223921935441554,-0.5416958384162734,jahreswechsel dürf
dürf bundesregierung,3.187978029479015,0.9774532935775271,-0.6197644526815603,-0.4324902862299683,-0.4517939311020864,dürf bundesregierung
bundesregierung trend,2.9218801666778327,0.8937746718119337,-0.5326048851768823,-0.3453307187252904,-0.36463436359740853,bundesregierung trend
befeuern,2.834114115242477,0.8608574451202623,-0.5021069903600439,-0.31483282390845196,-0.33413646878057013,befeuern
trend befeuer,2.834114115242477,0.8608574451202623,-0.5021069903600439,-0.31483282390845196,-0.33413646878057013,trend befeuer
